name,model_type,test_MeanSquaredError,test_MeanAbsolutePercentageError,test_MeanSquaredErrorHighChangeIntervals,Mean test time per sample (ms)
nhits_2025-02-06_16-48-51,nhits,0.6613174743149698,2.330154515394894,1.4186137968669768,0.7982475833152719
nhits_2025-02-06_16-47-39,nhits,0.6774367936162192,1.953697986612984,1.4188141532431924,0.8387055938772838
nhits_2025-02-06_16-46-23,nhits,0.6621091122689411,1.7757634741513448,1.3647009431197985,0.8364137374055203
nhits_2025-02-06_16-45-02,nhits,0.6608200042532849,2.0275262100508753,1.3911591214386096,0.8374347399129435
nhits_2025-02-06_16-43-46,nhits,0.6627831079442816,2.1252535261834766,1.417504621095518,0.8309503007308602
nhits_2025-02-06_16-42-32,nhits,0.6566903214193994,2.4406704278472793,1.4259424761313095,0.8334556727877358
nhits_2025-02-06_16-41-17,nhits,0.6659497236739235,1.910677900808997,1.388836247778242,0.8446362829478958
nhits_2025-02-06_16-39-59,nhits,0.6734597445716356,2.25478290400045,1.426005043416578,0.833171829009605
nhits_2025-02-06_16-38-45,nhits,0.6815989285056548,2.0910091476043355,1.4076492217212115,0.8491328219547296
nhits_2025-02-06_16-37-26,nhits,0.6968124769849212,1.8844427486445023,1.4392195220552595,0.8342088907575973
nhits_2025-02-06_16-36-13,nhits,0.677382463717849,1.9988383476697664,1.4148307490842305,0.8051933025193336
nhits_2025-02-06_16-34-57,nhits,0.7231335747505967,1.664003569967705,1.4642768309626837,0.8365217655839975
nhits_2025-02-06_16-33-43,nhits,0.6460967382454488,2.1198028174491643,1.3835462728176475,0.8030293304520799
nhits_2025-02-06_16-32-28,nhits,0.7278503961795464,3.0439534347904367,1.5764804889568256,0.8412992684146785
nhits_2025-02-06_16-31-06,nhits,0.665771189297786,2.143837823216611,1.434541462727271,0.8375436062817379
nhits_2025-02-06_16-29-50,nhits,0.6793088909244063,1.8219509915969183,1.411363351858057,0.8428940947269997
nhits_2025-02-06_16-28-36,nhits,0.7131286662264846,1.8126749704381049,1.4290556024985934,0.8358465614811996
nhits_2025-02-06_16-27-22,nhits,0.6608932358159797,2.0312881550781103,1.4070035576601998,0.8364568657391822
nhits_2025-02-06_16-26-09,nhits,0.6695738848206009,2.093135599817667,1.4190141294352192,0.8366415415273604
nhits_2025-02-06_16-24-57,nhits,0.6798369682397724,2.256766242636893,1.479310969299845,0.8352378464263418
nhits_2025-02-06_16-23-42,nhits,0.660606476730077,2.1803263901301593,1.4136152154483212,0.8384583999052682
nhits_2025-02-06_16-22-25,nhits,0.6791342576604136,2.302478422020384,1.4396089487185244,0.8378765276630821
nhits_2025-02-06_16-21-09,nhits,0.7194390185510616,1.6318843666873315,1.415415948238716,0.8407187347998247
nhits_2025-02-06_16-19-50,nhits,0.6709243632002022,1.911900084804398,1.4005808377446816,0.8292794801637796
nhits_2025-02-06_16-18-34,nhits,0.6862035810701586,2.7081085835613794,1.5220712946962671,0.8003674709545378
nhits_2025-02-06_16-17-20,nhits,0.6743625166400289,2.3018437998903605,1.4625210928911596,0.8374222830566757
nhits_2025-02-06_16-16-03,nhits,0.6738077884677582,2.0778874537723375,1.4627963692542745,0.8492282725146512
