name,model_type,test_MeanSquaredError,test_MeanAbsolutePercentageError,test_MeanSquaredErrorHighChangeIntervals,Mean test time per sample (ms)
tft_2025-02-06_15-50-07,tft,0.4629461488281815,0.9271112452034416,1.1274456071706278,0.9067545366256744
transformer_2025-02-06_15-50-02,transformer,0.6296805747716325,0.943848110039943,1.4093803600608583,0.8805169788239252
tft_2025-02-06_15-49-27,tft,0.4932404877398159,1.176539926920541,1.2060537706087335,0.9465733890795648
transformer_2025-02-06_15-49-15,transformer,0.6163902085768225,0.8756771993368443,1.4003815114032918,0.8590283377281844
tft_2025-02-06_15-48-47,tft,0.496605004141303,1.5101005258348528,1.2126906634912653,0.9700103693872768
transformer_2025-02-06_15-48-29,transformer,0.6226849295910823,1.0958470118362214,1.3995593480110406,0.8799055469748767
tft_2025-02-06_15-48-06,tft,0.4911722924041703,0.8495183759551397,1.1978453539654734,0.88483176391829
transformer_2025-02-06_15-47-42,transformer,0.6319991813506297,1.107531107500216,1.4113440477946182,0.8957754556194443
tft_2025-02-06_15-47-25,tft,0.4812308542671519,1.797349953470314,1.177712157519056,0.9234344791573332
transformer_2025-02-06_15-46-53,transformer,0.6150579953971717,0.9208885896747824,1.4016163533344734,0.9121052246740864
tft_2025-02-06_15-46-46,tft,0.5998530908947239,1.0063058005776104,1.4486592807546628,0.9816152574804128
transformer_2025-02-06_15-46-07,transformer,0.6376757786192344,0.8780322378589367,1.4289195085044588,0.8675759874970255
tft_2025-02-06_15-46-03,tft,0.46380116605721,1.8415868438277463,1.1040945589079214,0.9427840714259528
deepar_2025-02-06_15-45-46,deepar,1.5846808690861074,8.137412741949769,2.8835928015391183,0.9408615029338376
tft_2025-02-06_15-45-21,tft,0.4958081553454441,0.7587358901078041,1.202200052611603,0.9070082596214988
transformer_2025-02-06_15-45-22,transformer,0.6505388623594839,0.8870743177277408,1.4268921271651798,0.8774352221823561
deepar_2025-02-06_15-45-08,deepar,1.5040109023196992,7.287003044053702,2.0974946410243342,0.8653476488921801
nhits_2025-02-06_15-44-49,nhits,0.4782467928972447,1.2371683748599585,1.2245093529369255,0.8238792126459996
tft_2025-02-06_15-44-41,tft,0.5785038368870341,0.7081473527539672,1.3583031804097947,0.9563270992006336
transformer_2025-02-06_15-44-36,transformer,0.6118248246748751,0.8025667457145036,1.3958200288869014,0.9140829267480488
deepar_2025-02-06_15-44-30,deepar,1.614316976168309,5.481978496759553,1.9581150799148692,0.8399286957652977
nhits_2025-02-06_15-44-11,nhits,0.4910708495529309,1.1076991888398957,1.2540133795609676,0.8277718806663132
tft_2025-02-06_15-44-01,tft,0.5038877727316714,0.7874251265671985,1.226565711788063,0.9769983561066412
deepar_2025-02-06_15-43-52,deepar,1.0034595091121006,4.437428871851622,1.8585536456799616,0.927483249227028
transformer_2025-02-06_15-43-45,transformer,0.6170542063706101,1.0212470239460834,1.4050815964355832,0.9118228591025792
nhits_2025-02-06_15-43-34,nhits,0.4971339054624188,1.2403093152097089,1.2885298185505756,0.8215167707361072
tft_2025-02-06_15-43-23,tft,0.4758018457104427,1.1910747336907337,1.1469017189449904,0.8682590573454452
deepar_2025-02-06_15-43-10,deepar,1.547139264287754,6.8824274998111585,2.113602499090845,0.9217011949519064
nhits_2025-02-06_15-42-57,nhits,0.4852234013799345,0.8895758009688274,1.2346415978960603,0.8353729965760732
lstm_2025-02-06_15-42-56,lstm,0.5775552713455085,2.3095294947477756,1.424651449918381,0.8206756268639852
transformer_2025-02-06_15-42-56,transformer,0.6231333688097325,0.8708584218408201,1.4072129112053662,0.9213906572298016
tft_2025-02-06_15-42-43,tft,0.5272057529673291,0.9032871592593726,1.2943729220433366,0.9250503192986826
deepar_2025-02-06_15-42-32,deepar,1.5819987366848758,7.178210590715631,2.0198710586912294,0.8278012287605296
lstm_2025-02-06_15-42-19,lstm,0.5721052292945975,1.3232582008259914,1.5289723106196926,0.8239916170878179
nhits_2025-02-06_15-42-17,nhits,0.4826539851262073,1.0037920142356365,1.2055157170396087,0.8275983871801582
transformer_2025-02-06_15-42-06,transformer,0.6352328747513376,1.1665651300866842,1.4096190885851876,0.888012126897988
tft_2025-02-06_15-42-02,tft,0.5022636235267186,0.8220420196524705,1.2404787233821175,1.0085941744906366
deepar_2025-02-06_15-41-53,deepar,1.6210173629707514,6.762740899713627,1.996451892931983,0.910132536736062
lstm_2025-02-06_15-41-43,lstm,0.9467658182162768,5.15976430640974,1.4848397842870629,0.831926006661809
nhits_2025-02-06_15-41-41,nhits,0.4800596500657074,1.1433137756054423,1.2053875045543352,0.8199348981442202
tft_2025-02-06_15-41-21,tft,0.493919497871967,0.7622896938130613,1.2468475045419438,0.9305608201571894
transformer_2025-02-06_15-41-20,transformer,0.6107655534560092,0.90993939459713,1.396805616684886,0.9196697901029264
deepar_2025-02-06_15-41-15,deepar,1.2796036345784312,5.2249856714191605,1.877650592558005,0.9177042402403282
lstm_2025-02-06_15-41-06,lstm,1.1525870255798816,5.324583182625913,1.8805817867371732,0.8273742614252031
nhits_2025-02-06_15-41-06,nhits,0.4696477188604366,1.0729498589041917,1.185659885599097,0.8342046959949728
tft_2025-02-06_15-40-43,tft,0.5103070774315942,1.160246392892539,1.2249714373925809,0.9083072328582747
deepar_2025-02-06_15-40-36,deepar,2.7967508792939872,10.742135406321813,4.126727266903395,0.8588757635096608
transformer_2025-02-06_15-40-30,transformer,0.6336774032436534,0.9434779126556184,1.4078458558300002,0.8824199478587379
lstm_2025-02-06_15-40-30,lstm,0.6237067630818822,0.6310125139099283,1.3621975633847976,0.8217556528327867
nhits_2025-02-06_15-40-30,nhits,0.4745083892353729,0.9865318010871504,1.164841448021592,0.817401360367875
tft_2025-02-06_15-40-02,tft,0.5902829593699996,0.9030792386417128,1.3878414353278568,0.9371696556906411
deepar_2025-02-06_15-39-57,deepar,1.40384288526879,6.75455922495537,2.602956952791608,0.8834550142897974
nhits_2025-02-06_15-39-53,nhits,0.4831218637104171,1.2746973680882887,1.2326495062783045,0.8213343520355805
lstm_2025-02-06_15-39-51,lstm,1.3525122164211492,8.112366251649668,1.586261589968796,0.8195921585745061
transformer_2025-02-06_15-39-43,transformer,0.6427071626434344,1.3505263477521412,1.4193960218072486,0.8595111320162063
tft_2025-02-06_15-39-19,tft,0.4921386354028495,0.8789046165078969,1.1829520639386375,0.9923981762279178
